name,category
5-korns blanding,Tørvarer
abrikoser,Frugter
abrikosmarmelade,Frugter
acai pulver,Krydderier
agurk,Grøntsager
ahornsirup,Krydderier
akaciehonning,Krydderier
allehånde,Krydderier
amaretto mandellikør,Drikkevarer
ananas,Frugter
ananas på dåse,Frugter
ananasjuice,Drikkevarer
and,Kød & Fisk
andebryst,Kød & Fisk
andefedt,Kød & Fisk
andesteg eller gås,Kød & Fisk
ansjosfileter i olie,Kød & Fisk
appelsin,Frugter
appelsinjuice,Drikkevarer
appelsinmarmelade,Frugter
ark husblas,Tørvarer
ark rispapir,Tørvarer
artiskokker,Grøntsager
aspargessnitter,Grøntsager
aubergine,Grøntsager
avocado,Grøntsager
baby spinat,Grøntsager
babykartofler,Grøntsager
bacon,Kød & Fisk
bagekartoffel,Grøntsager
bageklar surdej,Tørvarer
bagels,Tørvarer
bagepulver,Tørvarer
baileys,Drikkevarer
balsamico,Krydderier
balsamico glace,Krydderier
banan,Frugter
barbecuesauce,Færdigvarer
basmati ris,Tørvarer
bastognekiks,Søde Sager
bearnaise,Færdigvarer
belugalinser,Tørvarer
benfri sild,Kød & Fisk
bladselleri,Grøntsager
blandet salat,Kød & Fisk
blodappelsin,Frugter
blomkål,Grøntsager
blommer,Frugter
blommetomater,Grøntsager
blå birkes,Grøntsager
blåbær,Frugter
blåbærkompot,Frugter
blåskimmelost,Mejeri
blæksprutte,Kød & Fisk
boghvedegryn,Tørvarer
boghvedekerner,Tørvarer
boghvedemel,Tørvarer
bolchebeder,Grøntsager
bourbon whisky,Drikkevarer
bredbladet persille,Grøntsager
brie,Mejeri
broccoli,Grøntsager
brombær,Frugter
brombærsirup,Drikkevarer
brombærsyltetøj,Frugter
brun farin,Tørvarer
brune ris,Tørvarer
brunet smør,Mejeri
brunkager,Søde Sager
brød,Tørvarer
brød eller boller,Tørvarer
brøndkarse,Grøntsager
bulgur,Tørvarer
burgerboller,Tørvarer
burrata,Mejeri
butterbeans,Grøntsager
butterdej,Tørvarer
butternut squash,Grøntsager
bygkerner,Tørvarer
bær,Frugter
bøf af oksefilet,Kød & Fisk
bønnespirer,Grøntsager
cachaca,Drikkevarer
cajun krydderi,Krydderier
camembert,Mejeri
campari,Drikkevarer
cannellini bønner,Grøntsager
cantaloupe melon,Frugter
cashewnødder,Grøntsager
cashewnøddesmør,Mejeri
caviar,Kød & Fisk
champignon,Grøntsager
cheddar,Mejeri
cherrytomater,Grøntsager
chiafrø,Grøntsager
chili,Grøntsager
chiliflager,Grøntsager
chokoladeknapper,Søde Sager
chokoladekugler,Søde Sager
chorizo,Kød & Fisk
citron,Frugter
citrongræs,Grøntsager
citrongræs sirup,Drikkevarer
citronmelisse,Krydderier
citronsaft,Grøntsager
citronsaft fra den økologiske citron,Grøntsager
citronsyre,Grøntsager
cognac,Krydderier
cointreau,Drikkevarer
comté,Mejeri
confiteret andelår,Kød & Fisk
cornflakes,Færdigvarer
cornichoner,Grøntsager
couscous,Tørvarer
cremefraiche 18 %,Mejeri
cremefraiche 38%,Mejeri
culottesteg,Kød & Fisk
dadel,Frugter
daim,Søde Sager
digestive kiks,Søde Sager
dijon sennep,Krydderier
dorade fisk,Kød & Fisk
dråber tabasco,Krydderier
durummel,Tørvarer
edamamebønner,Grøntsager
eller en kanelstang,Krydderier
emmentaler,Mejeri
emmermel,Tørvarer
enebær,Grøntsager
entrecotes,Kød & Fisk
espresso,Krydderier
falafelfars - klar til brug,Færdigvarer
fed hvidløg,Grøntsager
feldsalat,Grøntsager
fennikel,Grøntsager
fennikelfrø,Grøntsager
fersken,Frugter
feta,Mejeri
figner,Frugter
filodej,Tørvarer
finvalset havregryn,Tørvarer
fishsauce,Krydderier
fiskefond,Krydderier
fiskefrikadeller,Færdigvarer
five spice,Krydderier
fladbrød,Færdigvarer
flormelis,Tørvarer
flutes,Tørvarer
flåede tomater,Grøntsager
flæsk,Kød & Fisk
forårsløg,Grøntsager
frisk basilikum,Krydderier
frisk dild,Krydderier
frisk estragon,Krydderier
frisk gurkemeje,Krydderier
frisk koriander,Krydderier
frisk mozzarella,Mejeri
frisk mynte,Krydderier
frisk oregano,Krydderier
frisk pasta,Tørvarer
frisk rosmarin,Krydderier
frisk salvie,Krydderier
frisk timian,Krydderier
frisk torskerogn,Kød & Fisk
frisk tortellini,Tørvarer
friske lasagneplader,Tørvarer
friske ærter,Grøntsager
friskpresset citronsaft,Grøntsager
fritureolie,Krydderier
frosne bananer,Frugter
frosne blåbær,Frugter
frosne hindbær,Frugter
frosne jordbær,Frugter
frosne ærter,Grøntsager
frossen broccoli,Grøntsager
frossen spinat,Grøntsager
frysetørret hindbær,Frugter
