id,title,url,image_url,total_time,yields,ingredients,instructions
101,French toast,https://www.valdemarsro.dk/french-toast-fredag/,https://www.valdemarsro.dk/wp-content/2013/10/french-toast-1.jpg,20,4 servings,frosne blåbær | sukker | vaniljesukker | brød | æg | mælk | stødt kanel | sukker | smør | ahornsirup | græsk yoghurt 10 % | blåbær,"Blåbær kompot
Kom blåbær, sukker og vanilje i en gryde og kog op.
Lad det simre svagt i cirka 10 minutter uden låg, køl af og kom på et skoldet glas.
French Toast
Pisk æg, mælk, kanel, sukker, salt og peber sammen i en skål.
Dyp brødskiverne i blandingen på begge sider, ikke for længe, men nok til de lige bliver bløde og suger lidt af æggeblandingen til sig.
Varm en pande op til middelvarme og smelt smørret på panden. Steg brødene på begge sider i 3-4 minutter til de har fået en flot gylden stegeskorpe.
Servering
Rør græsk yoghurt med ahornsirup og server french toast på tallerkener med en skefuld græsk yoghurt rørt med ahornsirup, en skefuld blåbærkompot og lidt friske blåbær."
1964,Langtidsbagte tomater - ovntørrede,https://www.valdemarsro.dk/tomater-med-en-smag-af-sol/,https://www.valdemarsro.dk/wp-content/2011/07/langtidsbagte-tomater-i-ovnen.jpg,300,10 servings,cherrytomater | frisk rosmarin | olivenolie | olivenolie,"Drys tomaterne med salt og læg dem på en bradepande med bagepapir, så den overskårne side vender opad. Pensl med olivenolie og kom kviste af rosmarin over. Bag tomaterne i ovnen ved 100 grader i 4­-5 timer.
Kom de bagte tomater i et skoldet glas og hæld oliven­olie over, til det dækker.
Alternativt kan du sætte tomaterne i en forvarmet ovn ved 225 grader og slukke ovnen, så snart toma­terne er sat ind. Tomaterne skal stå i den lukkede ovn natten over eller fra morgen til aften, hvorefter de er klar til brug. Med denne fremgangsmåde kan toma­terne tilberedes natten over, eller mens du ikke er hjemme. Hvis du ikke synes, at de har fået helt nok, så giv dem en ekstra time i ovnen ved 100 grader."
2073,Regnbueis - trefarvet is,https://www.valdemarsro.dk/regnbueis/,https://www.valdemarsro.dk/wp-content/2015/08/regnbueis-1.jpg,1440,12 servings,vaniljestang | sødmælk | piskefløde | æggeblommer | sukker | mørk chokolade | vaniljestang | piskefløde | sødmælk | æggeblommer | sukker | vaniljestang | jordbær | sukker | æggeblommer | piskefløde | sødmælk,"Chokoladeis
Flæk vaniljestangen og skrab kornene ud. Kom den tomme vaniljestang, mælk og piskefløde i en gryde og varm op til 90 grader.
Kom æggeblommer, vaniljekorn og sukker i en ren skål og pisk til en luftig og lys æggesnaps.
Fjern vaniljestangen fra gryden, og pisk langsomt vaniljefløden i æggeblandingen. Pisk kontant til det er blandet godt sammen. Kom blandingen tilbage i gryden og varm langsomt op under konstant omrøring til vaniljecremen når præcis 80 grader – mål med et sukkertermometer.
Hæld den varme vaniljecreme over den finthakket chokolade i en skål og giv det en hurtig tur med stavblenderen, så cremen er helt jævn og ensartet. Kom chokoladeiscremen i en beholder med låg og sæt i køleskabet i minimum 1 time eller til næste dag.
Hæld chokoladecremen på ismaskinen og kør til isen har konsistens som en lækker tyk softice. Kom isen i en springform på 22 cm i diameter, beklædt med bagepapir i bunden. Glat overfladen pænt ud og sæt springformen i fryseren i minimum 2 timer.
Vaniljeis
Flæk vaniljestangen på langs og skrab kornene ud. Kom den tomme vaniljestang i en gryde, sammen med mælk og fløde og kog op til 90 grader. Mål med et sukkertermometer.
Kom æggeblommer, vaniljekorn og sukker i en skål og pisk med en håndmikser til det er en lys og luftig æggesnaps
Fjern vaniljestangen fra gryden, og pisk langsomt vaniljefløden i æggeblandingen. Pisk kontant til det er blandet godt sammen
Kom blandingen tilbage i gryden og varm langsomt op under konstant omrøring til vaniljecremen er præcis 80 grader – mål med et sukkertermometer. Kom vaniljecremen i en beholder med låg og sæt i køleskabet i minimum 1 time eller til næste dag.
Hæld iscremen på ismaskinen og kør til isen har konsistens som en lækker tyk softice.  Fordel vaniljeisen over chokoladeisen, som gerne skulle have sat sig efter to timer i fryseren. Glat overfladen pænt ud og sæt springformen i fryseren i minimum 2 timer.
Jordbæris
Flæk vaniljestangen på langs og skrab alle vaniljekornene ud på et skærebræt.
Kom den tomme vaniljestang, jordbær og halvdelen af sukkeret i en gryde og kog op. Rør rundt og lad det simre i nogle minutter, til sukkeret er smeltet.
Blend jordbærblandingen til en puré med en stavblender og mos puréen gennem en sigte, så alle de små jordbærkerner sorteres fra. Brug bagsiden af en spiseske til at mose puréen gennem sigten.
Kom vaniljekorn, sukker og æggeblommer i en skål pisk det til en luftig æggesnaps med en håndmikser.
Rør den afkølede jordbærmos sammen med fløde og mælk og vend det i æggemassen. Sæt blandingen på køl og lad det køle helt af i minimum en time eller til næste dag.
Hæld jordbærcremen på ismaskinen og kør til isen har konsistens som en lækker tyk softice. Fordel jordbærisen i springformen og glat overfladen pænt ud og sæt springformen i fryseren i minimum 2 timer."
2077,Vildtfuglefoder hjemmelavet,https://www.valdemarsro.dk/vildt-fuglefoder-diy/,https://www.valdemarsro.dk/wp-content/2015/11/vildtfuglefoder-hjemmelavet.jpg,60,1 serving,finvalset havregryn | solsikkekerner | hirsefrø | sesamfrø | rosiner | hampefrø | jordnødder | hasselnødder,"Jeg blander lidt løseligt det hele og skriver derfor ikke mål på, for det kommer sig virkelig ikke så nøje. Er der noget man ikke lige har i køkkenskufferne, så kan det sagtens undlades.
Alle de tørre dele sammen og så kommer jeg kokosolie i til det lige netop hænger sammen. Kokosolien smelter hurtigt, når man arbejder lidt med den, og den holder godt på kerner og gryn når den er ude i kulden.
Rul små kugler, som kan opbevares på køl eller frys, lav små søde forme ala  hjemmelavede fuglekugler eller kom blandingen i et tomt toiletrullerør, som er klippet over og foret med plast (så passer de lige perfekt ned i en fuglefoderautomat til haven)"
2159,Æblesnegle med lakrids,https://www.valdemarsro.dk/lakrids-og-aeblesnegle/,https://www.valdemarsro.dk/wp-content/2012/02/aeblesnegle.jpg,240,12 servings,mælk | gær | æg | sukker | stødt kardemomme | hvedemel | smør | æble | rålakridspulver | smør | muscovadosukker | æg | flormelis | rålakridspulver,"Dejen
Rør gær ud i mælken og tilsæt æg, kardemomme, sukker og salt, samt halvdelen af hvedemelet. Rør dejen godt sammen. Tilsæt smør i små tern samt resten af hvedemelet til dejen og rør dejen i 10 minutter på en røremaskine til den er blød og smidig.
Lad dejen hæve i en skål med et rent viskestykke over i 2 timer.
Fyld
Klem væden fra de groftrevede æbler og rør groftrevet æble med lakridspulver, blødt smør og muscovadosukker.
Rul dejen ud i stor retangel på et meldrysset bord. Fordel æblefyldet over hele fladen, med undtagelse af 4 cm på den yderste langs af den ene lange del af retanglen. Rul dejen sammen til en rulle, afslutning med den yderste del der er er uden æblefyld. Skær 3 cm tykke skiver og sæt dem på en bageplade med bagepapir. Lad kanelsneglene hæve på køkkenbordet i en time under et rent klæde
Bag i en forvarmet ovn ved 175 grader varmluft i omkring 17-20 minutter.
Lad sneglene køle lidt af på en rist og pisk imens en tyk hvid glasur med en håndmikser. Kom lidt glasur på og drys med lidt lakridspulver inden servering."
2166,Chokoladefrosting,https://www.valdemarsro.dk/chokoladefrosting/,https://www.valdemarsro.dk/wp-content/2020/08/chokoladefrostning.jpg,15,1 serving,mørk chokolade | mælk | smør | flormelis,"Chokoladefrosting
Smelt chokoladen i et vandbad over lav varme.
Tag vandbadet med chokolade af varmen og rør mælken i.
Pisk smør og flormelis helt luftigt og pisk derefter chokolade og mælkecreme i. Stil cremen på køl i cirka 30 minutter.
Fordel chokoladefrosting over en kage eller muffins efter kagerne er kølet helt af.
 "
2169,Råsyltede rabarber,https://www.valdemarsro.dk/raasyltede-rabarber/,https://www.valdemarsro.dk/wp-content/2020/04/raasyltede-rabarber-opskrift.jpg,20,1 serving,rabarber | æblecidereddike | sukker,"Gør rabarberne grundigt rene og skær dem i skiver af 1,5 cm. Kom rabarbertern i et skoldet rengjort glas.
Kog vand, æblecidereddike og sukker op i en gryde og lad det koge til sukkerkornene er smeltet. Hæld den kogende varme sukkerlage over rabarberne.
Sæt låg på og lad det trække i mindst 3 dage i køleskab."
2173,Smoothie med matcha og mynte,https://www.valdemarsro.dk/matcha-og-mynte-smoothie/,https://www.valdemarsro.dk/wp-content/2019/03/matcha-mynte-smoothie.jpg,5,4 servings,banan | frisk mynte | frossen spinat | agurk | matcha | hørfrø | vaniljepulver | dadel | hampefrø,"Kom det hele i en blender og kom vand i så det dækker 2/3 af ingredienserne.
Blend til det er helt ensartet og cremet. Juster konsistensen med mere vand alt efter behov."
2176,Havregrødspandekager,https://www.valdemarsro.dk/havregroedspandekager/,https://www.valdemarsro.dk/wp-content/2018/11/havregroedspandekager.jpg,20,4 servings,finvalset havregryn | stødt kanel | stødt kardemomme | vaniljepulver | mælk | sukker | æg | smør,"Kom havregryn, vand, kanel, kardemomme, salt og vanilje i en gryde, kog op og lad det simre under jævnlig omrøring til det tykner godt.
Juster konsistensen til en lækker havregrød med en anelse mælk og smag til med lidt sukker (når det er til pandekager)
Rør de to æg i den lune havregrød.
Varm en pande op med smør eller olie og kom klatter af havregrødsdej på panden. Lad dem stege helt færdig på den ene side, før de vendes og steges færdig på den anden side."
2188,Rabarbersnitter,https://www.valdemarsro.dk/rabarbersnitter/,https://www.valdemarsro.dk/wp-content/2016/05/rabarbersnitter-1.jpg,120,10 servings,rabarber | jordbær | vaniljestang | sukker | hvedemel | mandelmel | flormelis | vaniljepulver | smør | æg | æg | mandler,"Rabarbermarmelade med jordbær
Kom sukker, vaniljekorn, vaniljestang, jordbær og rabarber i en gryde. Kog det op og lad det simre ved lav varme i 20 minutter. Sæt marmeladen i køleskab, så den kan køle helt af inden den skal smøres på kagebunden.
Kagedejen
Rør hvedemel, mandelmel, flormelis, salt og vanilje godt sammen og smuldr smør i blandingen til det er helt ensartet.
Saml hurtigt dejen med æg, start med blot at bruge halvdelen af ægget og tilføj mere til dejen kan samles uden at smuldre for meget. Sæt dejen i køleskab i 30 minutter.
Rul dejen ud på et meldrysset bord til den er cirka 3 mm tyk. Skær i passende dejstrimler og sæt dem på en bageplade med bagepapir. Pensl den ene halvdel af dejen med æg og drys med mandelflager.
Bag i en forvarmet ovn i cirka 10-15 minutter ved 175 grader varmluft. Hold øje med dem, og vent eventuelt bagepladen undervejs. Lad kagestrimlerne køle lidt af.
Smør afkølet rabarbermarmelade på halvdelen af dejstrimlerne og læg den anden halvdel med mandelflager oven på. Skær rabarbersnitter ud i den størrelse du ønsker."
